,Päivämäärä,Kaisaniemi/Eläintarhanlahti,weekday,day,year,hour,month,Clouds,AirPhPa,RHpercent,RainmmH,Snowcm,ToC,DewToC,Visibilitym,Winddirdeg,Gustms,Windms
81,pe 4 tammi 2019 09:00,20,pe,4,2019,9,1,7,1011.3,96,0.05,0,-1.0,-1.6,830,212,12.07,6.07
82,pe 4 tammi 2019 10:00,7,pe,4,2019,10,1,8,1010.4,96,0.0,3,-0.4,-0.9,2030,220,10.08,6.06
83,pe 4 tammi 2019 11:00,3,pe,4,2019,11,1,8,1009.4,96,0.0,3,0.5,-0.1,12460,226,9.02,6.01
84,pe 4 tammi 2019 12:00,19,pe,4,2019,12,1,8,1008.8,97,0.0,3,0.9,0.05,6260,234,8.01,4.04
85,pe 4 tammi 2019 13:00,7,pe,4,2019,13,1,8,1007.8,98,0.05,3,1.2,0.09,5390,226,6.02,4.0
86,pe 4 tammi 2019 14:00,19,pe,4,2019,14,1,7,1006.4,97,0.0,2,1.0,0.07,25990,246,4.06,3.0
87,pe 4 tammi 2019 15:00,28,pe,4,2019,15,1,8,1005.8,98,0.0,2,0.7,0.04,5210,288,4.02,2.08
88,pe 4 tammi 2019 16:00,34,pe,4,2019,16,1,8,1005.7,98,0.0,2,0.6,0.04,6010,311,4.04,2.07
89,pe 4 tammi 2019 17:00,35,pe,4,2019,17,1,8,1005.8,98,0.0,2,0.7,0.05,12770,328,6.07,4.07
90,pe 4 tammi 2019 18:00,15,pe,4,2019,18,1,8,1006.0,97,0.0,2,0.7,0.03,34310,352,5.05,3.01
91,pe 4 tammi 2019 19:00,11,pe,4,2019,19,1,8,1006.2,94,0.0,2,0.4,-0.4,44640,352,8.08,5.02
92,pe 4 tammi 2019 20:00,5,pe,4,2019,20,1,8,1006.4,91,0.0,2,0.0,-1.3,50000,359,9.0,4.07
93,pe 4 tammi 2019 21:00,1,pe,4,2019,21,1,8,1006.8,90,0.0,2,-0.3,-1.8,8810,1,9.04,4.04
94,pe 4 tammi 2019 22:00,3,pe,4,2019,22,1,7,1007.4,92,0.0,2,-0.8,-1.8,3460,7,7.03,4.03
95,pe 4 tammi 2019 23:00,2,pe,4,2019,23,1,7,1008.0,89,0.0,2,-1.3,-2.8,5520,9,8.02,4.03
96,la 5 tammi 2019 00:00,0,la,5,2019,0,1,7,1008.5,86,0.0,2,-2.0,-4.1,36670,13,7.08,4.01
97,la 5 tammi 2019 01:00,0,la,5,2019,1,1,7,1009.1,84,0.0,2,-2.5,-4.8,50000,31,10.0,5.08
98,la 5 tammi 2019 02:00,1,la,5,2019,2,1,7,1010.0,85,0.0,2,-2.8,-5.0,50000,14,7.05,4.04
99,la 5 tammi 2019 03:00,0,la,5,2019,3,1,7,1010.7,88,0.0,2,-3.2,-4.9,20490,12,7.04,4.05
100,la 5 tammi 2019 04:00,1,la,5,2019,4,1,7,1011.6,86,0.0,2,-3.5,-5.6,50000,31,10.09,5.04
101,la 5 tammi 2019 05:00,0,la,5,2019,5,1,7,1012.1,87,0.0,2,-3.9,-5.8,50000,30,10.03,6.02
102,la 5 tammi 2019 06:00,2,la,5,2019,6,1,7,1012.9,87,0.0,2,-4.2,-6.0,38290,22,7.05,4.0
103,la 5 tammi 2019 07:00,2,la,5,2019,7,1,7,1013.6,87,0.0,2,-4.4,-6.3,44620,28,9.02,5.08
104,la 5 tammi 2019 08:00,1,la,5,2019,8,1,7,1014.5,86,0.0,2,-4.6,-6.6,35630,30,8.09,5.03
105,la 5 tammi 2019 09:00,5,la,5,2019,9,1,7,1015.5,85,0.0,2,-4.8,-7.0,24660,36,7.03,4.02
106,la 5 tammi 2019 10:00,4,la,5,2019,10,1,7,1016.2,83,0.0,2,-4.8,-7.3,30310,30,7.05,5.0
107,la 5 tammi 2019 11:00,5,la,5,2019,11,1,7,1016.7,83,0.0,2,-4.7,-7.2,28370,29,7.03,4.04
108,la 5 tammi 2019 12:00,5,la,5,2019,12,1,7,1017.7,84,0.0,2,-4.8,-7.1,25160,8,6.02,3.09
109,la 5 tammi 2019 13:00,10,la,5,2019,13,1,7,1018.1,82,0.0,2,-4.6,-7.2,12330,15,6.0,2.09
110,la 5 tammi 2019 14:00,20,la,5,2019,14,1,3,1018.1,82,0.0,2,-4.8,-7.4,15170,3,5.09,3.04
111,la 5 tammi 2019 15:00,11,la,5,2019,15,1,3,1018.6,82,0.0,2,-4.9,-7.4,36550,12,8.06,5.03
112,la 5 tammi 2019 16:00,8,la,5,2019,16,1,7,1019.2,82,0.0,2,-4.9,-7.5,50000,15,6.02,3.04
113,la 5 tammi 2019 17:00,8,la,5,2019,17,1,5,1019.6,84,0.0,0,-5.4,-7.6,37410,7,4.06,2.08
114,la 5 tammi 2019 18:00,8,la,5,2019,18,1,7,1020.0,84,0.0,2,-4.8,-7.2,35200,22,5.05,3.07
115,la 5 tammi 2019 19:00,3,la,5,2019,19,1,7,1020.7,84,0.0,0,-4.8,-7.1,41100,12,6.02,3.04
116,la 5 tammi 2019 20:00,3,la,5,2019,20,1,7,1021.1,85,0.0,0,-4.8,-7.0,47420,9,5.06,2.06
117,la 5 tammi 2019 21:00,4,la,5,2019,21,1,7,1021.4,85,0.0,2,-5.0,-7.2,50000,4,5.08,3.03
118,la 5 tammi 2019 22:00,3,la,5,2019,22,1,7,1021.8,83,0.0,0,-5.4,-7.9,50000,7,5.05,3.0
119,la 5 tammi 2019 23:00,3,la,5,2019,23,1,7,1022.2,83,0.0,2,-5.6,-8.0,50000,356,3.07,2.03
120,su 6 tammi 2019 00:00,1,su,6,2019,0,1,7,1022.2,86,0.0,2,-5.9,-7.9,49360,342,4.02,2.03
121,su 6 tammi 2019 01:00,1,su,6,2019,1,1,7,1022.5,87,0.0,2,-6.3,-8.1,50000,358,5.02,3.08
122,su 6 tammi 2019 02:00,1,su,6,2019,2,1,7,1022.7,87,0.0,2,-6.3,-8.1,50000,323,4.07,3.03
123,su 6 tammi 2019 03:00,0,su,6,2019,3,1,7,1022.8,89,0.0,2,-6.8,-8.4,49810,341,3.02,2.03
124,su 6 tammi 2019 04:00,0,su,6,2019,4,1,5,1022.9,90,0.0,2,-7.1,-8.5,50000,5,2.0,1.04
125,su 6 tammi 2019 05:00,1,su,6,2019,5,1,8,1023.0,91,0.0,2,-6.8,-8.1,50000,320,2.05,1.07
126,su 6 tammi 2019 06:00,0,su,6,2019,6,1,7,1023.2,90,0.0,2,-6.9,-8.2,50000,337,2.04,1.05
127,su 6 tammi 2019 07:00,1,su,6,2019,7,1,8,1023.1,90,0.0,2,-6.7,-8.0,50000,272,2.03,1.05
128,su 6 tammi 2019 08:00,1,su,6,2019,8,1,8,1023.2,88,0.0,2,-6.3,-8.0,50000,279,2.03,1.06
129,su 6 tammi 2019 09:00,5,su,6,2019,9,1,8,1023.2,88,0.0,2,-5.9,-7.6,50000,312,2.03,1.06
130,su 6 tammi 2019 10:00,5,su,6,2019,10,1,8,1023.5,88,0.0,2,-5.7,-7.4,50000,316,2.06,1.06
131,su 6 tammi 2019 11:00,4,su,6,2019,11,1,8,1023.6,87,0.0,2,-5.6,-7.3,50000,250,2.05,1.05
132,su 6 tammi 2019 12:00,8,su,6,2019,12,1,8,1023.6,86,0.0,2,-4.8,-6.8,50000,261,4.07,3.06
133,su 6 tammi 2019 13:00,6,su,6,2019,13,1,8,1023.3,86,0.0,2,-4.6,-6.6,50000,253,3.06,2.02
134,su 6 tammi 2019 14:00,2,su,6,2019,14,1,8,1023.0,85,0.0,2,-3.9,-6.1,50000,262,3.07,2.07
135,su 6 tammi 2019 15:00,10,su,6,2019,15,1,8,1023.1,83,0.0,2,-3.1,-5.6,50000,271,3.08,2.03
136,su 6 tammi 2019 16:00,8,su,6,2019,16,1,8,1022.8,81,0.0,2,-2.2,-4.9,50000,253,4.02,3.0
137,su 6 tammi 2019 17:00,7,su,6,2019,17,1,8,1022.7,81,0.0,2,-1.5,-4.3,50000,245,5.06,3.06
138,su 6 tammi 2019 18:00,7,su,6,2019,18,1,8,1022.5,80,0.0,2,-0.8,-3.8,50000,244,7.0,3.02
139,su 6 tammi 2019 19:00,3,su,6,2019,19,1,8,1022.2,84,0.0,2,-0.1,-2.5,50000,240,6.01,3.08
140,su 6 tammi 2019 20:00,5,su,6,2019,20,1,8,1021.8,81,0.0,2,0.3,-2.6,50000,230,7.09,4.05
141,su 6 tammi 2019 21:00,0,su,6,2019,21,1,8,1021.3,89,0.0,2,0.3,-1.3,7720,225,9.01,5.07
142,su 6 tammi 2019 22:00,0,su,6,2019,22,1,7,1020.8,91,0.05,2,-0.1,-1.3,3110,218,10.01,6.08
143,su 6 tammi 2019 23:00,0,su,6,2019,23,1,8,1020.3,91,0.0,2,0.1,-1.3,6250,221,10.0,6.04
144,ma 7 tammi 2019 00:00,1,ma,7,2019,0,1,8,1019.9,96,0.0,2,0.1,-0.5,3680,220,9.03,6.03
145,ma 7 tammi 2019 01:00,0,ma,7,2019,1,1,8,1019.1,97,0.0,2,0.6,0.02,4420,227,10.03,6.01
146,ma 7 tammi 2019 02:00,0,ma,7,2019,2,1,8,1018.4,98,0.0,2,1.3,1.0,7180,245,5.06,3.08
147,ma 7 tammi 2019 03:00,2,ma,7,2019,3,1,8,1017.9,97,0.0,2,1.5,1.01,21890,250,5.07,3.0
148,ma 7 tammi 2019 04:00,2,ma,7,2019,4,1,8,1017.3,98,0.0,2,1.7,1.04,6620,240,5.01,3.04
149,ma 7 tammi 2019 05:00,4,ma,7,2019,5,1,8,1016.6,97,0.0,2,2.3,2.0,19200,240,7.01,4.01
150,ma 7 tammi 2019 06:00,18,ma,7,2019,6,1,8,1016.0,97,0.05,0,2.5,2.0,25150,247,5.07,3.03
151,ma 7 tammi 2019 07:00,54,ma,7,2019,7,1,8,1015.3,98,0.0,0,2.3,2.0,8360,258,5.05,3.08
152,ma 7 tammi 2019 08:00,98,ma,7,2019,8,1,8,1014.8,98,0.0,0,2.2,1.09,6860,261,6.03,4.03
153,ma 7 tammi 2019 09:00,37,ma,7,2019,9,1,8,1014.7,98,0.0,0,2.0,1.08,4900,268,5.02,3.07
154,ma 7 tammi 2019 10:00,17,ma,7,2019,10,1,8,1014.6,98,0.0,0,1.9,1.07,4540,273,4.07,3.01
155,ma 7 tammi 2019 11:00,10,ma,7,2019,11,1,8,1014.4,99,0.0,0,1.9,1.07,2270,259,4.09,3.06
156,ma 7 tammi 2019 12:00,16,ma,7,2019,12,1,8,1014.1,99,0.0,0,2.0,1.08,7410,262,5.01,3.08
157,ma 7 tammi 2019 13:00,11,ma,7,2019,13,1,8,1013.9,97,0.0,0,2.2,1.08,15850,277,6.0,3.09
158,ma 7 tammi 2019 14:00,16,ma,7,2019,14,1,8,1013.6,96,0.0,0,2.2,1.07,19290,278,5.03,3.08
159,ma 7 tammi 2019 15:00,37,ma,7,2019,15,1,8,1013.4,96,0.0,0,2.1,1.05,17580,281,5.09,3.05
160,ma 7 tammi 2019 16:00,72,ma,7,2019,16,1,8,1013.2,95,0.0,0,1.9,1.03,10120,291,5.01,3.02
161,ma 7 tammi 2019 17:00,60,ma,7,2019,17,1,8,1013.1,93,0.0,0,1.7,0.08,40560,291,5.0,3.03
162,ma 7 tammi 2019 18:00,27,ma,7,2019,18,1,7,1012.5,91,0.0,0,1.4,0.01,43580,289,5.08,4.01
163,ma 7 tammi 2019 19:00,16,ma,7,2019,19,1,8,1012.3,92,0.0,0,0.9,-0.2,25680,299,4.08,3.04
164,ma 7 tammi 2019 20:00,11,ma,7,2019,20,1,7,1011.9,92,0.0,0,0.4,-0.7,21820,287,5.0,3.04
165,ma 7 tammi 2019 21:00,2,ma,7,2019,21,1,7,1011.1,94,0.0,0,-0.2,-1.0,14590,303,4.04,3.05
166,ma 7 tammi 2019 22:00,0,ma,7,2019,22,1,7,1010.3,94,0.0,0,-0.3,-1.1,15560,287,4.0,2.07
167,ma 7 tammi 2019 23:00,3,ma,7,2019,23,1,8,1009.8,95,0.0,0,-0.3,-1.1,14830,285,3.02,2.02
168,ti 8 tammi 2019 00:00,1,ti,8,2019,0,1,7,1009.1,95,0.0,0,-0.6,-1.2,12070,263,1.04,1.0
169,ti 8 tammi 2019 01:00,0,ti,8,2019,1,1,7,1008.3,97,0.0,0,-0.8,-1.2,8010,0,0.0,0.0
170,ti 8 tammi 2019 02:00,0,ti,8,2019,2,1,7,1007.4,98,0.0,0,-0.6,-0.9,8440,121,1.05,1.02
171,ti 8 tammi 2019 03:00,0,ti,8,2019,3,1,7,1006.5,98,0.0,0,-0.6,-0.8,650,117,2.08,1.09
172,ti 8 tammi 2019 04:00,0,ti,8,2019,4,1,7,1005.5,99,0.0,0,-0.3,-0.5,520,97,2.09,1.09
173,ti 8 tammi 2019 05:00,3,ti,8,2019,5,1,8,1004.4,99,0.0,0,0.7,0.05,9590,164,5.04,3.05
174,ti 8 tammi 2019 06:00,14,ti,8,2019,6,1,8,1003.2,97,0.02,0,0.9,0.05,5290,127,4.03,2.04
175,ti 8 tammi 2019 07:00,40,ti,8,2019,7,1,8,1002.3,97,1.0,0,0.6,0.02,1790,148,6.0,3.06
176,ti 8 tammi 2019 08:00,62,ti,8,2019,8,1,8,1001.7,98,1.0,0,0.5,0.02,2010,158,4.06,3.01
177,ti 8 tammi 2019 09:00,41,ti,8,2019,9,1,8,1001.1,98,0.07,0,1.0,0.07,4060,167,5.01,3.03
178,ti 8 tammi 2019 10:00,17,ti,8,2019,10,1,8,1000.8,96,0.02,0,1.2,0.07,5430,193,6.03,3.04
179,ti 8 tammi 2019 11:00,13,ti,8,2019,11,1,8,1000.7,94,0.0,0,1.8,1.0,13240,189,4.08,2.09
180,ti 8 tammi 2019 12:00,13,ti,8,2019,12,1,8,1000.5,95,0.0,0,1.2,0.05,4150,183,6.03,4.02
181,ti 8 tammi 2019 13:00,12,ti,8,2019,13,1,8,1000.2,96,0.02,0,1.1,0.06,3050,192,5.06,3.03
182,ti 8 tammi 2019 14:00,12,ti,8,2019,14,1,8,1000.0,95,0.0,0,1.1,0.04,10570,188,4.07,2.09
183,ti 8 tammi 2019 15:00,23,ti,8,2019,15,1,8,999.7,95,0.03,0,0.7,0.01,3300,181,5.02,3.04
184,ti 8 tammi 2019 16:00,54,ti,8,2019,16,1,7,999.6,96,0.0,0,0.6,0.01,4710,156,4.02,2.08
185,ti 8 tammi 2019 17:00,47,ti,8,2019,17,1,7,999.6,97,0.0,0,0.3,-0.1,2280,141,4.0,2.01
186,ti 8 tammi 2019 18:00,25,ti,8,2019,18,1,7,999.6,97,0.0,0,0.2,-0.2,2110,151,4.01,2.03
187,ti 8 tammi 2019 19:00,20,ti,8,2019,19,1,8,999.8,96,0.0,0,0.2,-0.3,6800,133,4.0,2.06
188,ti 8 tammi 2019 20:00,10,ti,8,2019,20,1,7,999.9,97,0.07,0,0.1,-0.2,2090,135,4.01,3.0
189,ti 8 tammi 2019 21:00,2,ti,8,2019,21,1,7,1000.2,98,1.0,2,0.0,-0.3,910,135,4.03,3.01
190,ti 8 tammi 2019 22:00,0,ti,8,2019,22,1,7,1000.4,98,1.0,5,-0.1,-0.4,1080,126,4.02,2.09
191,ti 8 tammi 2019 23:00,2,ti,8,2019,23,1,8,1000.7,98,0.09,6,-0.3,-0.6,1070,143,3.08,2.05
192,ke 9 tammi 2019 00:00,1,ke,9,2019,0,1,7,1000.9,98,1.0,9,-0.4,-0.6,730,123,2.03,1.07
193,ke 9 tammi 2019 01:00,0,ke,9,2019,1,1,7,1001.2,98,1.0,10,-0.5,-0.8,710,108,2.02,1.06
194,ke 9 tammi 2019 02:00,1,ke,9,2019,2,1,7,1001.7,98,0.07,11,-0.5,-0.8,1530,133,2.06,1.07
195,ke 9 tammi 2019 03:00,0,ke,9,2019,3,1,7,1002.2,98,0.03,12,-0.5,-0.7,2910,0,0.0,0.0
196,ke 9 tammi 2019 04:00,3,ke,9,2019,4,1,8,1002.7,98,0.05,12,-0.4,-0.6,1620,235,1.07,1.0
197,ke 9 tammi 2019 05:00,2,ke,9,2019,5,1,8,1003.2,98,1.0,12,-0.4,-0.7,1220,337,1.02,0.08
198,ke 9 tammi 2019 06:00,12,ke,9,2019,6,1,8,1003.6,98,0.05,13,-0.5,-0.7,1460,0,0.0,0.0
199,ke 9 tammi 2019 07:00,35,ke,9,2019,7,1,8,1004.3,98,0.09,13,-0.4,-0.7,1280,50,2.08,1.09
